,beta
937,2.896513e-01
938,2.896136e-01
939,2.895788e-01
940,2.895470e-01
941,2.895187e-01
942,2.894937e-01
943,2.894722e-01
944,2.894540e-01
945,2.894391e-01
946,2.894273e-01
947,2.894183e-01
948,2.894118e-01
949,2.894075e-01
950,2.894049e-01
951,2.894039e-01
952,2.894040e-01
953,2.894050e-01
954,2.894068e-01
955,2.894090e-01
956,2.894113e-01
957,2.894133e-01
958,2.894147e-01
959,2.894153e-01
960,2.894150e-01
961,2.894139e-01
962,2.894117e-01
963,2.894087e-01
964,2.894049e-01
965,2.894003e-01
966,2.893948e-01
967,2.893885e-01
968,2.893814e-01
969,2.893737e-01
970,2.893653e-01
971,2.893569e-01
972,2.893484e-01
973,2.893407e-01
974,2.893331e-01
975,2.893271e-01
976,2.893207e-01
977,2.893161e-01
978,2.893111e-01
979,2.893075e-01
980,2.893041e-01
981,2.893011e-01
982,2.892992e-01
983,2.892969e-01
984,2.892955e-01
985,2.892943e-01
986,2.892927e-01
987,2.892914e-01
988,2.892893e-01
989,2.892868e-01
990,2.892843e-01
991,2.892809e-01
992,2.892775e-01
993,2.892740e-01
994,2.892698e-01
995,2.892655e-01
996,2.892608e-01
997,2.892558e-01
998,2.892509e-01
999,2.892455e-01
1000,2.892404e-01
1001,2.892363e-01
1002,2.892324e-01
1003,2.892288e-01
1004,2.892255e-01
1005,2.892214e-01
1006,2.892172e-01
1007,2.892133e-01
1008,2.892089e-01
1009,2.892044e-01
1010,2.892001e-01
1011,2.891952e-01
1012,2.891899e-01
1013,2.891849e-01
1014,2.891800e-01
1015,2.891755e-01
1016,2.891718e-01
1017,2.891690e-01
1018,2.891665e-01
1019,2.891642e-01
1020,2.891617e-01
1021,2.891594e-01
1022,2.891576e-01
1023,2.891558e-01
1024,2.891538e-01
1025,2.891514e-01
1026,2.891488e-01
1027,2.891461e-01
1028,2.891437e-01
1029,2.891414e-01
1030,2.891391e-01
1031,2.891368e-01
1032,2.891346e-01
1033,2.891320e-01
1034,2.891296e-01
1035,2.891279e-01
1036,2.891263e-01
1037,2.891251e-01
1038,2.891238e-01
1039,2.891227e-01
1040,2.891220e-01
1041,2.891209e-01
1042,2.891198e-01
1043,2.891191e-01
1044,2.891182e-01
1045,2.891172e-01
1046,2.891157e-01
1047,2.891139e-01
1048,2.891127e-01
1049,2.891120e-01
1050,2.891120e-01
1051,2.891128e-01
1052,2.891132e-01
1053,2.891132e-01
1054,2.891133e-01
1055,2.891133e-01
1056,2.891134e-01
1057,2.891138e-01
1058,2.891136e-01
1059,2.891129e-01
1060,2.891119e-01
1061,2.891110e-01
1062,2.891110e-01
1063,2.891118e-01
1064,2.891131e-01
1065,2.891145e-01
1066,2.891156e-01
1067,2.891165e-01
1068,2.891173e-01
1069,2.891180e-01
1070,2.891180e-01
1071,2.891173e-01
1072,2.891164e-01
1073,2.891153e-01
1074,2.891144e-01
1075,2.891142e-01
1076,2.891150e-01
1077,2.891170e-01
1078,2.891196e-01
1079,2.891219e-01
1080,2.891238e-01
1081,2.891254e-01
1082,2.891263e-01
1083,2.891263e-01
1084,2.891259e-01
1085,2.891259e-01
1086,2.891262e-01
1087,2.891271e-01
1088,2.891283e-01
1089,2.891292e-01
1090,2.891296e-01
1091,2.891304e-01
1092,2.891318e-01
1093,2.891335e-01
1094,2.891353e-01
1095,2.891369e-01
1096,2.891381e-01
1097,2.891390e-01
1098,2.891403e-01
1099,2.891422e-01
1100,2.891444e-01
1101,2.891465e-01
1102,2.891484e-01
1103,2.891506e-01
1104,2.891528e-01
1105,2.891550e-01
1106,2.891570e-01
1107,2.891594e-01
1108,2.891615e-01
1109,2.891634e-01
1110,2.891659e-01
1111,2.891687e-01
1112,2.891723e-01
1113,2.891763e-01
1114,2.891796e-01
1115,2.891827e-01
1116,2.891859e-01
1117,2.891890e-01
1118,2.891925e-01
1119,2.891955e-01
1120,2.891980e-01
1121,2.892006e-01
1122,2.892040e-01
1123,2.892078e-01
1124,2.892118e-01
1125,2.892159e-01
1126,2.892199e-01
1127,2.892236e-01
1128,2.892273e-01
1129,2.892312e-01
1130,2.892351e-01
