,L_pde,L_ic,L_data,L_total
628,1.622779e-07,1.079835e-08,5.676202e-06,5.849278e-06
629,2.636116e-06,6.768108e-07,8.217095e-05,8.548387e-05
630,1.669316e-06,5.053647e-08,2.374815e-05,2.546800e-05
631,8.058968e-07,1.014318e-08,3.547342e-05,3.628946e-05
632,2.843060e-07,7.844715e-08,5.182756e-05,5.219032e-05
633,1.753363e-06,4.931155e-07,4.662149e-05,4.886797e-05
634,8.506358e-07,1.165436e-07,4.110581e-05,4.207299e-05
635,6.852483e-06,9.773134e-07,7.910422e-04,7.988720e-04
636,2.417029e-06,4.829155e-07,7.987862e-04,8.016861e-04
637,9.227019e-07,1.374442e-07,3.719436e-05,3.825451e-05
638,1.932242e-06,5.300085e-10,2.570365e-05,2.763643e-05
639,2.318064e-07,5.197578e-10,9.631730e-06,9.864056e-06
640,2.429622e-07,1.469446e-09,5.114163e-06,5.358595e-06
641,1.650696e-07,3.969790e-10,6.105339e-06,6.270805e-06
642,1.456278e-07,1.909618e-06,9.559574e-07,3.011203e-06
643,9.994921e-08,6.158385e-10,2.958782e-07,3.964432e-07
644,1.597477e-07,8.297764e-06,1.585847e-06,1.004336e-05
645,1.220056e-07,1.943825e-09,3.613378e-06,3.737327e-06
646,5.601628e-07,5.358152e-10,4.070271e-06,4.630970e-06
647,3.263523e-06,8.408766e-09,2.490048e-05,2.817241e-05
648,2.021209e-07,2.708148e-06,4.056148e-06,6.966417e-06
649,1.662827e-07,1.084477e-08,3.180138e-06,3.357265e-06
650,1.111185e-07,2.940854e-10,5.898229e-07,7.012355e-07
651,3.468636e-07,4.075520e-08,2.083911e-05,2.122673e-05
652,1.593070e-06,2.793695e-10,5.088650e-05,5.247985e-05
653,1.123375e-05,4.732153e-07,2.717002e-04,2.834072e-04
654,6.653752e-07,1.155357e-07,4.413895e-05,4.491986e-05
655,1.946504e-07,1.747109e-07,3.398858e-05,3.435794e-05
656,1.942452e-05,2.379360e-07,9.679824e-04,9.876449e-04
657,3.439692e-06,5.072082e-07,2.059606e-04,2.099075e-04
658,4.956971e-07,2.191691e-09,7.861517e-06,8.359406e-06
659,1.840324e-07,1.643378e-09,1.510019e-06,1.695695e-06
660,1.412346e-07,1.547271e-07,9.732664e-07,1.269228e-06
661,1.230375e-07,3.100591e-08,3.690130e-07,5.230564e-07
662,1.265812e-07,4.077426e-10,1.619830e-06,1.746819e-06
663,1.440772e-07,4.110858e-07,1.749918e-06,2.305081e-06
664,1.534956e-07,9.507804e-09,3.896205e-06,4.059209e-06
665,9.395583e-08,5.844348e-08,3.252235e-07,4.776228e-07
666,8.782219e-08,2.175806e-08,2.047216e-07,3.143018e-07
667,1.679804e-07,3.728588e-08,1.661640e-05,1.682167e-05
668,7.401676e-06,8.090749e-08,1.873773e-05,2.622031e-05
669,1.095035e-06,1.445709e-06,3.759195e-05,4.013269e-05
670,2.785455e-06,3.806957e-07,4.527621e-04,4.559283e-04
671,1.581626e-06,5.800679e-09,4.444950e-05,4.603693e-05
672,1.026015e-06,1.019572e-09,4.681404e-05,4.784107e-05
673,6.852056e-07,1.695268e-09,4.437064e-05,4.505755e-05
674,1.072575e-07,1.056265e-06,8.191100e-07,1.982633e-06
675,1.810885e-07,4.776939e-10,6.499896e-06,6.681462e-06
676,3.257102e-07,2.542972e-10,7.335149e-06,7.661113e-06
677,1.142002e-07,8.237204e-07,2.106499e-06,3.044419e-06
678,1.644167e-07,2.167484e-08,4.093296e-06,4.279388e-06
679,4.431929e-07,2.592236e-10,5.067031e-06,5.510483e-06
680,7.831927e-08,8.662927e-09,2.030137e-06,2.117120e-06
681,3.041148e-07,9.359756e-08,1.711051e-06,2.108763e-06
682,7.267174e-07,2.002415e-08,8.732808e-05,8.807482e-05
683,8.731730e-07,1.701012e-08,1.397080e-05,1.486099e-05
684,2.521804e-06,7.607079e-08,1.657820e-04,1.683799e-04
685,1.233055e-05,9.378635e-08,3.944057e-04,4.068301e-04
686,1.928347e-06,7.224775e-09,8.316854e-05,8.510411e-05
687,3.529351e-07,3.412640e-09,5.322356e-06,5.678704e-06
688,2.563946e-07,1.723169e-09,3.964061e-06,4.222179e-06
689,1.810451e-07,1.065935e-09,1.841503e-06,2.023614e-06
690,2.279344e-07,1.938012e-09,1.371845e-06,1.601718e-06
691,5.019181e-07,3.538758e-07,1.818875e-05,1.904454e-05
692,2.121626e-07,1.546191e-09,1.844776e-06,2.058485e-06
693,1.046139e-07,7.761462e-10,4.608630e-07,5.662530e-07
694,1.082702e-07,1.870347e-06,5.063532e-07,2.484971e-06
