,beta
924,5.347677e-01
925,5.353890e-01
926,5.359574e-01
927,5.365510e-01
928,5.370899e-01
929,5.376561e-01
930,5.382181e-01
931,5.387350e-01
932,5.392506e-01
933,5.397990e-01
934,5.403677e-01
935,5.408939e-01
936,5.415051e-01
937,5.421228e-01
938,5.425554e-01
939,5.429758e-01
940,5.435098e-01
941,5.440391e-01
942,5.442147e-01
943,5.444589e-01
944,5.447971e-01
945,5.450256e-01
946,5.454221e-01
947,5.458917e-01
948,5.463478e-01
949,5.468123e-01
950,5.473223e-01
951,5.477838e-01
952,5.483029e-01
953,5.487693e-01
954,5.492619e-01
955,5.497340e-01
956,5.501645e-01
957,5.505402e-01
958,5.509589e-01
959,5.514401e-01
960,5.518935e-01
961,5.523433e-01
962,5.528292e-01
963,5.532377e-01
964,5.536012e-01
965,5.540881e-01
966,5.545039e-01
967,5.548846e-01
968,5.553856e-01
969,5.559485e-01
970,5.563447e-01
971,5.565642e-01
972,5.568031e-01
973,5.571006e-01
974,5.575437e-01
975,5.580852e-01
976,5.585672e-01
977,5.588822e-01
978,5.590116e-01
979,5.592173e-01
980,5.597372e-01
981,5.594403e-01
982,5.593996e-01
983,5.590000e-01
984,5.584491e-01
985,5.580355e-01
986,5.579929e-01
987,5.579207e-01
988,5.573802e-01
989,5.568325e-01
990,5.556972e-01
991,5.547970e-01
992,5.543585e-01
993,5.540964e-01
994,5.539700e-01
995,5.539453e-01
996,5.542703e-01
997,5.538294e-01
998,5.524708e-01
999,5.522510e-01
1000,5.510639e-01
1001,5.475332e-01
1002,5.470171e-01
1003,5.452135e-01
1004,5.444179e-01
1005,5.438244e-01
1006,5.434398e-01
1007,5.434056e-01
1008,5.433710e-01
1009,5.435624e-01
1010,5.437960e-01
1011,5.436376e-01
1012,5.436806e-01
1013,5.439124e-01
1014,5.441725e-01
1015,5.445997e-01
1016,5.448993e-01
1017,5.452548e-01
1018,5.456164e-01
1019,5.460191e-01
1020,5.464050e-01
1021,5.468153e-01
1022,5.471136e-01
1023,5.475294e-01
1024,5.478660e-01
1025,5.483219e-01
1026,5.487010e-01
1027,5.490817e-01
1028,5.494519e-01
1029,5.498118e-01
1030,5.501817e-01
1031,5.505434e-01
1032,5.509370e-01
1033,5.513136e-01
1034,5.516926e-01
1035,5.520838e-01
1036,5.523238e-01
1037,5.524841e-01
1038,5.526638e-01
1039,5.528767e-01
1040,5.530883e-01
1041,5.532866e-01
1042,5.534887e-01
1043,5.536917e-01
1044,5.538500e-01
1045,5.541199e-01
1046,5.543120e-01
1047,5.544698e-01
1048,5.546947e-01
1049,5.548918e-01
1050,5.550828e-01
1051,5.553094e-01
1052,5.554946e-01
1053,5.556938e-01
1054,5.559094e-01
1055,5.561241e-01
1056,5.563115e-01
1057,5.565173e-01
1058,5.567269e-01
1059,5.569459e-01
1060,5.571420e-01
1061,5.573603e-01
1062,5.575582e-01
1063,5.577657e-01
1064,5.579769e-01
1065,5.581809e-01
1066,5.583729e-01
1067,5.585977e-01
1068,5.588104e-01
1069,5.590112e-01
1070,5.592056e-01
1071,5.594224e-01
1072,5.596365e-01
1073,5.598494e-01
1074,5.600568e-01
1075,5.602498e-01
1076,5.604515e-01
1077,5.606753e-01
1078,5.608834e-01
1079,5.610932e-01
1080,5.612956e-01
1081,5.615033e-01
1082,5.616964e-01
1083,5.619214e-01
1084,5.621236e-01
1085,5.623352e-01
1086,5.625273e-01
1087,5.627551e-01
1088,5.629583e-01
1089,5.631788e-01
1090,5.633756e-01
1091,5.635706e-01
1092,5.638097e-01
1093,5.640137e-01
1094,5.642229e-01
1095,5.644251e-01
1096,5.646433e-01
1097,5.648355e-01
1098,5.650397e-01
1099,5.652577e-01
1100,5.654513e-01
1101,5.656542e-01
1102,5.658660e-01
1103,5.660596e-01
1104,5.662671e-01
1105,5.664739e-01
1106,5.666874e-01
1107,5.668961e-01
1108,5.670886e-01
1109,5.673208e-01
1110,5.675182e-01
1111,5.677265e-01
1112,5.678960e-01
1113,5.681003e-01
1114,5.682964e-01
1115,5.685019e-01
1116,5.687079e-01
1117,5.689130e-01
1118,5.691007e-01
1119,5.692941e-01
1120,5.695197e-01
1121,5.697300e-01
1122,5.699339e-01
1123,5.701179e-01
1124,5.703086e-01
1125,5.704594e-01
1126,5.706260e-01
1127,5.708430e-01
1128,5.710253e-01
1129,5.712088e-01
1130,5.713986e-01
1131,5.715919e-01
1132,5.718024e-01
1133,5.720002e-01
1134,5.722128e-01
1135,5.723984e-01
1136,5.726199e-01
1137,5.727743e-01
1138,5.729681e-01
1139,5.731504e-01
1140,5.733349e-01
1141,5.735393e-01
1142,5.737554e-01
1143,5.739622e-01
1144,5.741838e-01
1145,5.743543e-01
1146,5.745324e-01
1147,5.747222e-01
1148,5.749212e-01
1149,5.751001e-01
1150,5.752881e-01
1151,5.755496e-01
1152,5.757547e-01
1153,5.759101e-01
1154,5.760877e-01
1155,5.762192e-01
1156,5.764132e-01
1157,5.765777e-01
1158,5.767107e-01
1159,5.769362e-01
1160,5.771835e-01
1161,5.773322e-01
1162,5.774610e-01
1163,5.775815e-01
1164,5.777548e-01
1165,5.779497e-01
1166,5.781505e-01
1167,5.783232e-01
1168,5.784728e-01
1169,5.786472e-01
1170,5.788082e-01
1171,5.789686e-01
1172,5.791408e-01
1173,5.793035e-01
1174,5.794777e-01
1175,5.796642e-01
1176,5.798290e-01
1177,5.799762e-01
1178,5.801454e-01
1179,5.803334e-01
1180,5.805118e-01
1181,5.806912e-01
1182,5.808809e-01
1183,5.810068e-01
1184,5.811185e-01
1185,5.812751e-01
1186,5.814629e-01
1187,5.816101e-01
1188,5.817293e-01
1189,5.818655e-01
1190,5.820417e-01
1191,5.822198e-01
1192,5.823948e-01
1193,5.825371e-01
1194,5.827087e-01
1195,5.828669e-01
1196,5.830146e-01
1197,5.831742e-01
1198,5.833461e-01
1199,5.834696e-01
1200,5.836380e-01
1201,5.837006e-01
1202,5.838345e-01
1203,5.839652e-01
1204,5.841212e-01
1205,5.842414e-01
1206,5.843735e-01
1207,5.845144e-01
1208,5.846730e-01
1209,5.848255e-01
1210,5.849548e-01
1211,5.851396e-01
1212,5.853257e-01
1213,5.853777e-01
1214,5.855074e-01
1215,5.856376e-01
1216,5.856618e-01
1217,5.857849e-01
1218,5.859063e-01
1219,5.860536e-01
1220,5.860621e-01
1221,5.862104e-01
1222,5.863854e-01
1223,5.865005e-01
1224,5.866593e-01
1225,5.867525e-01
1226,5.868339e-01
1227,5.869465e-01
1228,5.870122e-01
1229,5.870993e-01
1230,5.871214e-01
1231,5.871206e-01
1232,5.872258e-01
1233,5.872628e-01
1234,5.873321e-01
1235,5.873312e-01
1236,5.874268e-01
1237,5.875543e-01
1238,5.875915e-01
1239,5.874842e-01
1240,5.875588e-01
1241,5.876907e-01
1242,5.875880e-01
1243,5.877402e-01
1244,5.878976e-01
